rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
100, 1.92471, 16.8121, 1736.04, 174.323, 545.161, 1194.36, 0.13272, 44.667
99, 1.91652, 16.7809, 1729.58, 176.476, 539.417, 1190.23, 0.134064, 44.0646
98, 1.90827, 16.7498, 1723.04, 178.637, 533.695, 1186.11, 0.135415, 43.4685
97, 1.89993, 16.7188, 1716.42, 180.804, 527.997, 1181.98, 0.136772, 42.8789
96, 1.89149, 16.6879, 1709.72, 182.977, 522.326, 1177.85, 0.138133, 42.2957
95, 1.88292, 16.6571, 1702.95, 185.154, 516.683, 1173.72, 0.139496, 41.7192
94, 1.87421, 16.6264, 1696.12, 187.334, 511.071, 1169.6, 0.140859, 41.1492
93, 1.86533, 16.5959, 1689.22, 189.515, 505.492, 1165.48, 0.142219, 40.586
92, 1.85626, 16.5655, 1682.27, 191.697, 499.95, 1161.38, 0.143575, 40.0295
91, 1.84698, 16.5353, 1675.27, 193.879, 494.446, 1157.28, 0.144922, 39.48
90, 1.83747, 16.5054, 1668.22, 196.057, 488.985, 1153.21, 0.146259, 38.9375
89, 1.82772, 16.4756, 1661.13, 198.233, 483.568, 1149.15, 0.147583, 38.402
88, 1.8177, 16.4461, 1654.0, 200.402, 478.199, 1145.11, 0.14889, 37.8738
87, 1.80741, 16.4169, 1646.85, 202.566, 472.881, 1141.1, 0.150178, 37.353
86, 1.79682, 16.3879, 1639.67, 204.72, 467.617, 1137.11, 0.151443, 36.8396
85, 1.78592, 16.3592, 1632.49, 206.865, 462.411, 1133.15, 0.152682, 36.3338
84, 1.7747, 16.3308, 1625.29, 208.998, 457.265, 1129.22, 0.153891, 35.8358
83, 1.76316, 16.3028, 1618.09, 211.118, 452.183, 1125.33, 0.155068, 35.3456
82, 1.75128, 16.2751, 1610.9, 213.223, 447.167, 1121.47, 0.156209, 34.8635
81, 1.73907, 16.2477, 1603.72, 215.311, 442.221, 1117.65, 0.157311, 34.3894
80, 1.72651, 16.2207, 1596.56, 217.382, 437.347, 1113.88, 0.158372, 33.9236
79, 1.71362, 16.1941, 1589.43, 219.433, 432.548, 1110.14, 0.159388, 33.466
78, 1.70039, 16.1679, 1582.33, 221.464, 427.826, 1106.46, 0.160357, 33.0168
77, 1.68684, 16.1421, 1575.27, 223.473, 423.183, 1102.82, 0.161277, 32.5761
76, 1.67297, 16.1168, 1568.25, 225.458, 418.62, 1099.22, 0.162146, 32.1438
75, 1.65879, 16.0918, 1561.29, 227.419, 414.139, 1095.68, 0.162962, 31.72
74, 1.64432, 16.0672, 1554.38, 229.355, 409.741, 1092.2, 0.163724, 31.3047
73, 1.62956, 16.0431, 1547.53, 231.265, 405.427, 1088.76, 0.16443, 30.8978
72, 1.61454, 16.0195, 1540.75, 233.148, 401.196, 1085.38, 0.165081, 30.4994
71, 1.59928, 15.9962, 1534.03, 235.004, 397.049, 1082.05, 0.165675, 30.1092
70, 1.58378, 15.9734, 1527.39, 236.832, 392.985, 1078.78, 0.166212, 29.7273
69, 1.56808, 15.9511, 1520.82, 238.632, 389.004, 1075.57, 0.166693, 29.3534
68, 1.55218, 15.9291, 1514.32, 240.405, 385.105, 1072.4, 0.167118, 28.9875
67, 1.53611, 15.9076, 1507.9, 242.15, 381.285, 1069.29, 0.167487, 28.6294
66, 1.51988, 15.8865, 1501.56, 243.867, 377.545, 1066.24, 0.167801, 28.2789
65, 1.50351, 15.8658, 1495.31, 245.557, 373.881, 1063.24, 0.168061, 27.9358
64, 1.48702, 15.8456, 1489.12, 247.219, 370.293, 1060.29, 0.168268, 27.5999
63, 1.47043, 15.8257, 1483.02, 248.855, 366.777, 1057.39, 0.168423, 27.271
62, 1.45375, 15.8061, 1477.0, 250.465, 363.331, 1054.54, 0.168528, 26.9489
61, 1.43699, 15.787, 1471.05, 252.05, 359.954, 1051.74, 0.168583, 26.6333
60, 1.42017, 15.7682, 1465.18, 253.61, 356.642, 1048.99, 0.168591, 26.324
59, 1.40329, 15.7498, 1459.38, 255.146, 353.394, 1046.28, 0.168552, 26.0207
58, 1.38638, 15.7317, 1453.66, 256.659, 350.205, 1043.62, 0.168468, 25.7232
57, 1.36944, 15.7139, 1448.0, 258.15, 347.074, 1040.99, 0.16834, 25.4312
56, 1.35247, 15.6964, 1442.42, 259.62, 343.999, 1038.41, 0.16817, 25.1446
55, 1.33549, 15.6792, 1436.89, 261.069, 340.975, 1035.87, 0.167959, 24.863
54, 1.3185, 15.6623, 1431.43, 262.498, 338.001, 1033.36, 0.167707, 24.5863
53, 1.30151, 15.6456, 1426.03, 263.909, 335.074, 1030.89, 0.167417, 24.3141
52, 1.28452, 15.6292, 1420.69, 265.302, 332.191, 1028.46, 0.16709, 24.0462
51, 1.26753, 15.6131, 1415.4, 266.679, 329.35, 1026.05, 0.166726, 23.7824
50, 1.25055, 15.5972, 1410.16, 268.04, 326.548, 1023.68, 0.166326, 23.5225
49, 1.23358, 15.5815, 1404.97, 269.386, 323.782, 1021.33, 0.165892, 23.2662
48, 1.21661, 15.566, 1399.83, 270.718, 321.049, 1019.01, 0.165424, 23.0132
47, 1.19966, 15.5506, 1394.73, 272.038, 318.348, 1016.72, 0.164923, 22.7635
46, 1.18271, 15.5355, 1389.66, 273.346, 315.676, 1014.44, 0.16439, 22.5167
45, 1.16577, 15.5205, 1384.63, 274.643, 313.029, 1012.19, 0.163825, 22.2727
44, 1.14884, 15.5057, 1379.63, 275.931, 310.407, 1009.96, 0.163229, 22.0311
43, 1.1319, 15.491, 1374.66, 277.209, 307.805, 1007.75, 0.162601, 21.7919
42, 1.11497, 15.4765, 1369.72, 278.48, 305.222, 1005.55, 0.161944, 21.5547
41, 1.09802, 15.4621, 1364.79, 279.744, 302.655, 1003.37, 0.161256, 21.3194
40, 1.08107, 15.4477, 1359.89, 281.002, 300.102, 1001.2, 0.160538, 21.0858
39, 1.06411, 15.4335, 1355.0, 282.256, 297.559, 999.037, 0.159789, 20.8537
38, 1.04712, 15.4193, 1350.11, 283.506, 295.025, 996.886, 0.159011, 20.6227
37, 1.0301, 15.4052, 1345.24, 284.754, 292.497, 994.741, 0.158202, 20.3928
36, 1.01305, 15.3912, 1340.36, 286.0, 289.973, 992.602, 0.157363, 20.1637
35, 0.995964, 15.3772, 1335.49, 287.246, 287.449, 990.466, 0.156493, 19.9351
34, 0.978823, 15.3632, 1330.61, 288.493, 284.922, 988.33, 0.155591, 19.707
33, 0.961624, 15.3493, 1325.72, 289.742, 282.39, 986.194, 0.154658, 19.4789
32, 0.944357, 15.3353, 1320.81, 290.995, 279.85, 984.055, 0.153691, 19.2507
31, 0.927012, 15.3213, 1315.88, 292.252, 277.298, 981.91, 0.152692, 19.0221
30, 0.909576, 15.3073, 1310.93, 293.516, 274.732, 979.758, 0.151657, 18.7928
29, 0.892039, 15.2933, 1305.95, 294.788, 272.147, 977.595, 0.150587, 18.5627
28, 0.874387, 15.2792, 1300.92, 296.069, 269.539, 975.42, 0.14948, 18.3313
27, 0.856605, 15.265, 1295.86, 297.361, 266.905, 973.228, 0.148334, 18.0984
26, 0.838678, 15.2507, 1290.74, 298.667, 264.241, 971.019, 0.147148, 17.8636
25, 0.82059, 15.2363, 1285.57, 299.987, 261.54, 968.787, 0.14592, 17.6266
24, 0.802321, 15.2218, 1280.33, 301.325, 258.799, 966.529, 0.144647, 17.3869
23, 0.78385, 15.207, 1275.02, 302.683, 256.01, 964.242, 0.143326, 17.1442
22, 0.765156, 15.1921, 1269.62, 304.063, 253.169, 961.922, 0.141955, 16.898
21, 0.746212, 15.177, 1264.12, 305.469, 250.266, 959.562, 0.140531, 16.6478
20, 0.726991, 15.1616, 1258.51, 306.904, 247.295, 957.159, 0.139049, 16.3928
19, 0.707461, 15.1459, 1252.78, 308.372, 244.246, 954.705, 0.137505, 16.1326
18, 0.687586, 15.1299, 1246.92, 309.877, 241.108, 952.195, 0.135894, 15.8663
17, 0.667326, 15.1135, 1240.89, 311.425, 237.868, 949.619, 0.13421, 15.5931
16, 0.646634, 15.0966, 1234.68, 313.021, 234.513, 946.969, 0.132445, 15.3119
15, 0.625456, 15.0792, 1228.27, 314.672, 231.024, 944.235, 0.130593, 15.0215
14, 0.60373, 15.0613, 1221.62, 316.387, 227.383, 941.402, 0.128642, 14.7206
13, 0.58138, 15.0426, 1214.7, 318.176, 223.562, 938.456, 0.126581, 14.4074
12, 0.558318, 15.0232, 1207.46, 320.051, 219.533, 935.378, 0.124397, 14.0799
11, 0.534436, 15.0028, 1199.85, 322.027, 215.256, 932.144, 0.122071, 13.7354
10, 0.509602, 14.9814, 1191.8, 324.123, 210.682, 928.725, 0.119582, 13.3707
9, 0.483648, 14.9585, 1183.22, 326.366, 205.747, 925.082, 0.116904, 12.9816
8, 0.456359, 14.934, 1173.99, 328.788, 200.364, 921.165, 0.113999, 12.5623
7, 0.42745, 14.9075, 1163.94, 331.436, 194.413, 916.903, 0.110821, 12.105
6, 0.396529, 14.8782, 1152.84, 334.377, 187.718, 912.196, 0.107304, 11.5985
5, 0.363033, 14.8453, 1140.34, 337.712, 180.009, 906.893, 0.103355, 11.0256
4, 0.326095, 14.8074, 1125.84, 341.609, 170.838, 900.745, 0.0988309, 10.3584
3, 0.284258, 14.7617, 1108.32, 346.371, 159.373, 893.303, 0.0935009, 9.54546
2, 0.234687, 14.7024, 1085.51, 352.66, 143.773, 883.602, 0.0869509, 8.47598
1, 0.170115, 14.6125, 1050.75, 362.472, 118.312, 868.758, 0.0784167, 6.81422
0, 0.0000000000145885, 14.2706, 918.314, 402.84, 0.000000000173478, 810.978, 24.9708, -0.00000000000000000000000000000000000000000000000000000000014495
